date,Time.of.Issue,Form,Method,Issue,Zip
07/27/2016,10:00 am,Phone,Wired,Telemarketing (including do not call and spoofing),11106
07/27/2016,6:15 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),21046
07/27/2016,3:23 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,95035
07/27/2016,5:40 p.m.,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),36116
07/27/2016,3:45 pm,Phone,Wired,Robocalls,98571
07/27/2016,3:47 PM,Phone,Wired,Telemarketing (including do not call and spoofing),85255
07/27/2016,11:02 AM,Phone,Wired,Telemarketing (including do not call and spoofing),85119
07/27/2016,5:05 PM,Phone,Wired,Telemarketing (including do not call and spoofing),75758
07/27/2016,3:39 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95131
07/27/2016,3:35 pm,Phone,Wired,Robocalls,20120
07/27/2016,6:08 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),76148
07/27/2016,8:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),75070
07/27/2016,3:37 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),60660
07/20/2016,3:00 pm,Phone,Wired,Robocalls,95682
07/27/2016,5:37 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85295
